	ID	ODPnumbO	ODPnumbD	ODPnumbAvg	VarO	VarD	VarAvg	spd	FrstDrvO	FrstDrvD	FrstDrvAvg	scndDrvO	scndDrvD	scndDrAvg	OTime	Dtime
794	594	1	1	1.0	0.0	0.0	0.0	0.30935839800000003	0.0	0.0	0.0	0.0	0.0	0.0	0	0
795	595	6	2	4.0	8.888888889	1.0	4.944444444	50.46666667	0.11020211699999999	-0.066666667	0.021767725	0.0	0.0	0.0	37	30
796	596	1	13	7.0	0.0	13.30177515	6.6508875739999995	2.194202899	0.0	-0.039130435	-0.019565217	0.0	-0.005017118	-0.002508559	0	75
797	597	1	3	2.0	0.0	16.88888889	8.444444444	0.494897959	0.0	0.46666666700000003	0.233333333	0.0	0.0	0.0	0	15
798	598	2	5	3.5	4.0	33.6	18.8	0.554285714	4.0	2.333333333	3.166666667	0.0	0.0	0.0	1	5
799	599	2	1	1.5	1.0	0.0	0.5	0.763983629	-0.2	0.0	-0.1	0.0	0.0	0.0	10	0
800	600	1	6	3.5	0.0	10.66666667	5.333333333	0.7637795279999999	0.0	-0.001534653	-0.0007673269999999999	0.0	-0.000508444	-0.000254222	0	1540
801	601	2	6	4.0	1.0	10.66666667	5.833333333	0.880232558	-0.2	-0.001534653	-0.10076732699999999	0.0	-0.000508444	-0.000254222	10	1540
802	602	2	2	2.0	16.0	49.0	32.5	0.359259259	-0.21052631600000002	0.736842105	0.263157895	0.0	0.0	0.0	38	19
803	603	9	6	7.5	7.802469136	4.555555556	6.179012346	0.627802691	0.060745402000000004	0.000781225	0.030763312999999997	0.0	-3.47e-07	-1.74e-07	32	4999
804	604	5	1	3.0	2.56	0.0	1.28	0.29305136	0.101123596	0.0	0.050561798	0.0	0.0	0.0	12	0
805	605	5	2	3.5	7.04	4.0	5.52	0.16468590800000002	-0.13135402599999998	0.0	-0.06567701299999999	-0.008180367	0.0	-0.004090183	41	0
806	606	7	1	4.0	3.2653061219999997	0.0	1.6326530609999999	0.729166667	-0.011111111000000002	0.0	-0.005555556	-0.004609053	0.0	-0.0023045270000000002	45	0
807	607	1	9	5.0	0.0	15.50617284	7.75308642	2.255813953	0.0	-0.041370717	-0.020685358	0.0	0.00077033	0.000385165	0	135
808	608	7	9	8.0	3.2653061219999997	15.50617284	9.385739481	0.9334155359999999	-0.011111111000000002	-0.041370717	-0.026240914	-0.004609053	0.00077033	-0.0019193620000000002	45	135
809	609	2	54	28.0	1.0	64.86282579	32.93141289	0.305031447	-0.28571428600000004	-0.094993905	-0.19035409600000003	0.0	-0.0071277730000000004	-0.0035638859999999996	7	95
810	610	10	1	5.5	51.24	0.0	25.62	0.668257757	0.005189476	0.0	0.002594738	1.23e-05	0.0	6.16e-06	2317	0
811	611	1	3	2.0	0.0	0.0	0.0	0.374517375	0.0	2.81e-18	1.4e-18	0.0	-5.1100000000000005e-20	-2.5499999999999995e-20	0	4590
812	612	10	3	6.5	51.24	0.0	25.62	0.69006381	0.005189476	2.81e-18	0.002594738	1.23e-05	-5.1100000000000005e-20	6.16e-06	2317	4590
813	613	6	1	3.5	8.555555556	0.0	4.277777778	6.086956522	0.208333333	0.0	0.10416666699999999	0.0	0.0	0.0	12	0
814	614	3	2	2.5	11.55555556	4.0	7.777777778	0.014139941999999999	-0.047785839000000004	0.0	-0.02389292	-0.011211183000000001	0.0	-0.0056055919999999995	68	0
815	615	1	17	9.0	0.0	45.42560554	22.71280277	0.850877193	0.0	-0.001689711	-0.0008448560000000001	0.0	-2.2800000000000002e-05	-1.1400000000000001e-05	0	2807
816	616	2	13	7.5	16.0	70.43786982	43.21893491	3.592592593	-0.258064516	0.24826512399999998	-0.004899695999999999	0.0	-0.0010648860000000001	-0.0005324430000000001	31	78
817	617	1	39	20.0	0.0	15.15318869	7.576594346	0.873873874	0.0	-0.033512186	-0.016756093	0.0	0.0011518560000000001	0.0005759280000000001	0	74
818	618	7	4	5.5	6.857142857	34.0	20.42857143	0.633484163	-0.086720867	0.8888888890000001	0.401084011	-0.004586796	0.0	-0.002293398	52	15
819	619	4	1	2.5	34.0	0.0	17.0	338.0	0.8888888890000001	0.0	0.444444444	0.0	0.0	0.0	15	0
820	620	1	2	1.5	0.0	4.0	2.0	31.9	0.0	1.0	0.5	0.0	0.0	0.0	0	4
821	621	2	2	2.0	4.0	1.0	2.5	338.0	1.0	0.0	0.5	0.0	0.0	0.0	4	0
822	622	2	13	7.5	1.0	23.90532544	12.45266272	17.2	0.0	0.014108653999999998	0.007054326999999999	0.0	-0.000681435	-0.00034071800000000005	0	331
823	623	7	1	4.0	6.857142857	0.0	3.428571429	1.1088888890000002	-0.086720867	0.0	-0.043360434	-0.004586796	0.0	-0.002293398	52	0
824	624	4	2	3.0	34.0	4.0	19.0	68.81818182	0.8888888890000001	1.0	0.944444444	0.0	0.0	0.0	15	4
825	625	1	2	1.5	0.0	1.0	0.5	50.46666667	0.0	0.0	0.0	0.0	0.0	0.0	0	0
826	626	2	13	7.5	4.0	23.90532544	13.95266272	30.77419355	1.0	0.014108653999999998	0.5070543270000001	0.0	-0.000681435	-0.00034071800000000005	4	331
827	627	2	3	2.5	1.0	6.222222222	3.611111111	0.402489627	0.0	0.081967213	0.040983607000000005	0.0	0.0	0.0	0	61
828	628	1	2	1.5	0.0	1.0	0.5	3.0094339619999997	0.0	0.0	0.0	0.0	0.0	0.0	0	0
829	629	2	1	1.5	1.0	0.0	0.5	0.23891625600000002	0.0	0.0	0.0	0.0	0.0	0.0	0	0
830	630	1	1	1.0	0.0	0.0	0.0	0.371352785	0.0	0.0	0.0	0.0	0.0	0.0	0	0
831	631	1	1	1.0	0.0	0.0	0.0	1.0078125	0.0	0.0	0.0	0.0	0.0	0.0	0	0
832	632	2	1	1.5	1.0	0.0	0.5	0.39550679200000005	0.0	0.0	0.0	0.0	0.0	0.0	0	0
833	633	7	1	4.0	25.95918367	0.0	12.97959184	8.818181818	0.427046263	0.0	0.213523132	0.0	0.0	0.0	19	0
834	634	1	2	1.5	0.0	4.0	2.0	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0	0
835	635	2	2	2.0	4.0	1.0	2.5	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0	1
836	636	7	2	4.5	25.95918367	4.0	14.97959184	21.02777778	0.427046263	0.0	0.213523132	0.0	0.0	0.0	19	0
837	637	1	2	1.5	0.0	1.0	0.5	6.204918032999999	0.0	2.0	1.0	0.0	0.0	0.0	0	1
838	638	1	3	2.0	0.0	0.8888888890000001	0.444444444	0.217977528	0.0	-0.001059883	-0.0005299419999999999	0.0	0.0	0.0	0	1887
839	639	10	1	5.5	38.56	0.0	19.28	0.267955801	0.022367352000000004	0.0	0.011183676000000002	1.51e-05	0.0	7.54e-06	643	0
840	640	4	1	2.5	164.75	0.0	82.375	0.206871075	-0.495327103	0.0	-0.247663551	0.0	0.0	0.0	24	0
841	641	1	5	3.0	0.0	45.76	22.88	0.39112903200000004	0.0	-0.139858433	-0.069929216	0.0	-0.01553323	-0.007766615	0	53
842	642	5	2	3.5	45.76	4.0	24.88	0.10856921300000001	-0.139858433	-0.111111111	-0.125484772	-0.01553323	0.0	-0.007766615	53	36
843	643	2	2	2.0	4.0	25.0	14.5	0.6689655170000001	-0.111111111	1.428571429	0.658730159	0.0	0.0	0.0	36	7
844	644	4	5	4.5	164.75	45.76	105.255	0.256175973	-0.495327103	-0.139858433	-0.317592768	0.0	-0.01553323	-0.007766615	24	53
845	645	1	2	1.5	0.0	4.0	2.0	0.138670086	0.0	-0.111111111	-0.055555556	0.0	0.0	0.0	0	36
846	646	5	2	3.5	45.76	25.0	35.38	0.141786851	-0.139858433	1.428571429	0.6443564979999999	-0.01553323	0.0	-0.007766615	53	7
847	647	1	3	2.0	0.0	46.22222222	23.11111111	5.283018868	0.0	0.002995636	0.001497818	0.0	-0.000181632	-9.08e-05	0	3330
848	648	1	88	44.5	0.0	29.16322314	14.58161157	0.261455526	0.0	0.020819975	0.010409986999999999	0.0	-0.004361965	-0.002180983	0	108
849	649	1	2	1.5	0.0	1.0	0.5	0.563953488	0.0	0.0	0.0	0.0	0.0	0.0	0	0
850	650	9	106	57.5	2.666666667	54.08081168	28.37373917	3.730769231	-0.038069341	0.127937617	0.044934138	-0.002139868	-0.007500965	-0.0048204170000000005	76	66
851	651	1	5	3.0	0.0	53.44	26.72	0.069683908	0.0	0.0	0.0	0.0	0.0	0.0	0	0
852	652	2	1	1.5	1.0	0.0	0.5	0.179297597	0.0	0.0	0.0	0.0	0.0	0.0	0	0
853	653	1	9	5.0	0.0	3.5555555560000003	1.7777777780000001	1.4057971009999999	0.0	-0.003450193	-0.001725096	0.0	-0.000949713	-0.000474856	0	130
854	654	33	17	25.0	35.07070707	84.67820069	59.87445388	0.281976744	0.148152725	-0.073782885	0.03718492	0.0	-0.012118806000000001	-0.0060594030000000005	27	65
855	655	1	7	4.0	0.0	3.2653061219999997	1.6326530609999999	1.222707424	0.0	-1.0555555559999998	-0.5277777779999999	0.0	0.0	0.0	0	3
856	656	7	1	4.0	3.2653061219999997	0.0	1.6326530609999999	0.7238805970000001	-1.0555555559999998	0.0	-0.5277777779999999	0.0	0.0	0.0	3	0
857	657	1	1	1.0	0.0	0.0	0.0	1.272268908	0.0	0.0	0.0	0.0	0.0	0.0	0	0
858	658	3	6	4.5	2.666666667	15.22222222	8.944444444	0.296636086	0.0	0.041604385	0.020802192	0.0	-0.000480128	-0.000240064	0	122
859	659	1	1	1.0	0.0	0.0	0.0	21.53846154	0.0	0.0	0.0	0.0	0.0	0.0	0	0
860	660	1	2	1.5	0.0	9.0	4.5	1.021052632	0.0	0.0	0.0	0.0	0.0	0.0	0	0
861	661	1	2	1.5	0.0	9.0	4.5	6.256198347000001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
862	662	2	6	4.0	9.0	0.8888888890000001	4.944444444	0.332191781	-0.428571429	0.031683168	-0.19844413	0.0	0.0	0.0	14	31
