	ODPnumbO	ODPnumbD	ODPnumbAvg	VarO	VarD	VarAvg	spd	FrstDrvO	FrstDrvD	FrstDrvAvg	scndDrvO	scndDrvD	scndDrAvg	OTime	Dtime
371	-0.6612107708113445	-0.3697150987120364	-0.726491990178345	-0.3993675697683149	-0.16291250990070302	-0.43140724247394563	-0.3346953844721014	-0.01859098124486807	-1.0582574721343894	-0.7510823153309455	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.28099096956715774
334	0.3749667348675498	-0.6508672650329766	-0.16295586334317105	-0.034003265001429264	-0.5916178080718255	-0.29564255019142294	-0.30595226369407225	0.26960577488664667	-0.014965628990466995	0.1867437728013537	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.13746417921573528	-0.4128497070458803
20	0.11592235844782624	-0.3697150987120364	-0.16295586334317105	-0.2388070842750546	-0.16291250990070302	-0.2873173567967399	-0.3125542305897059	-0.7717311101444891	-0.8174978168267857	-1.1341005078010238	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.2781374678279364	-0.24143334832354096
78	-0.4021663943916209	-0.08856293239109617	-0.3508012389548957	-0.3993675697683149	0.7209613766638112	-0.035308297389880755	-0.32308870454720534	-0.01859098124486807	-0.15154965689361163	-0.11920930765064464	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.286929548366199	-0.13594635834056293
199	-0.14312201797189733	-0.3697150987120364	-0.3508012389548957	-0.1244985903819529	-0.5439838860528119	-0.35550804342461323	0.5883569354046403	-0.1144451799203403	-0.014965628990466995	-0.09412753973554863	0.07116226551155069	0.10730611409045002	0.12737750967283118	0.6889913913809466	-0.4128497070458803
143	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	-0.33158767928777266	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
72	-0.4021663943916209	-0.08856293239109617	-0.3508012389548957	-0.3993675697683149	-0.5492765440496318	-0.6045522903025667	-0.2588552471928826	-0.01859098124486807	0.1589163448668534	0.09715045184678964	0.07116226551155069	0.10730611409045002	0.12737750967283118	0.5659022638452705	-0.28099096956715774
251	-0.4021663943916209	-0.3697150987120364	-0.5386466145666203	-0.37558083117672075	0.17052494423239223	-0.26063404463429446	-0.3181737588444347	3.2952255825996484	-0.3627295767051078	2.157144314992718	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.36605827321056217	0.11458524286900991
216	-0.4021663943916209	-0.08856293239109617	-0.3508012389548957	-0.37558083117672075	2.4992944652148728	0.7829799419738257	-0.2422288609254565	-1.6754992631671262	0.056297475819059944	-1.186124414394934	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.3572661926722996	-0.1755039795841797
233	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	-0.18528692244396783	-0.5916178080718255	-0.43140724247394563	-0.0328233293197864	0.533711778843582	-0.014965628990466995	0.379894708380542	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.21659290406009843	-0.4128497070458803
154	-0.6612107708113445	-0.3697150987120364	-0.726491990178345	-0.3993675697683149	0.17052494423239223	-0.28198069436425083	-0.23960042486112074	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
163	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	-0.32463601702318845	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
236	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	0.7661826212197967	-0.5916178080718255	0.42245874672431016	0.13724395506050474	1.527856747996937	-0.014965628990466995	1.106951365961458	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.24296914567488614	-0.4128497070458803
144	-0.6612107708113445	-0.6508672650329766	-0.9143373657900696	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	0.44532111236869487	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
186	-0.4021663943916209	-0.08856293239109617	-0.3508012389548957	-0.3993675697683149	-0.04118137564040636	-0.3768546931545696	-0.33075711863640667	-0.01859098124486807	-0.11555850700340266	-0.09412753973554863	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	1.1826410164466625
301	0.11592235844782624	-0.6508672650329766	-0.3508012389548957	-0.04851317554230166	-0.5916178080718255	-0.30866400652669634	-0.31919740379293243	0.6843398046235062	-0.014965628990466995	0.49005480691241315	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.3220978705192493	-0.4128497070458803
159	-0.6612107708113445	-0.08856293239109617	-0.5386466145666203	-0.3993675697683149	-0.4645940160052446	-0.5666026907779005	-0.15453282352152964	-0.01859098124486807	-0.28951611430289176	-0.2153563560929982	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.16231810583630746
128	-0.4021663943916209	-0.3697150987120364	-0.5386466145666203	-0.3042206154019384	-0.5916178080718255	-0.5381404911237275	-0.3243106203255693	-0.01859098124486807	-0.014965628990473984	-0.02402565775003455	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.346920338306519
24	-0.6612107708113445	0.1925892339298441	-0.3508012389548957	-0.3993675697683149	-0.4963499640337983	-0.5808337905836404	-0.3201406338354555	-0.01859098124486807	0.05055748927881123	0.021636558831058063	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.004087620861840382
16	-0.4021663943916209	0.7548935665717246	0.2127348878802782	-0.3993675697683149	-0.12057124587850936	-0.41243244273295915	-0.30664137365272826	-0.01859098124486807	0.1259531704529366	0.07417883985716825	0.07116226551155069	0.3954114767834991	0.36795200073643075	-0.37485035374882475	0.6815778140275168
322	-0.6612107708113445	-0.6508672650329766	-0.9143373657900696	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	0.5111153682129903	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
66	-0.6612107708113445	0.4737414002507843	-0.16295586334317105	-0.3993675697683149	0.24673921946281405	-0.24782605479632058	-0.3237862162589525	-0.01859098124486807	0.2812814525689738	0.18242512169042224	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	0.12777111661688217
285	0.3749667348675498	-0.6508672650329766	-0.16295586334317105	0.6891135881830318	-0.5916178080718255	0.35329560159925144	-0.23168794934855705	1.7061439562971514	-0.014965628990466995	1.2373396929850777	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.21659290406009843	-0.4128497070458803
340	3.224454875484509	-0.3697150987120364	2.0911886439975245	-0.3194589948121784	-0.5439838860528119	-0.5304690388770245	-0.24680886976884903	-0.025735301337375175	-1.1741787886188761	-0.8370913051281683	0.06813106546876734	0.10730611409045002	0.1257684892734044	4.11790280130335	-0.37329208580226353
